ticker,ex_date,amount
AAPL,2021-02-05,0.205
AAPL,2021-05-07,0.22
AAPL,2021-08-06,0.22
AAPL,2021-11-05,0.22
CSCO,2021-01-04,0.36
CSCO,2021-04-05,0.37
CSCO,2021-07-02,0.37
CSCO,2021-10-04,0.37
IBM,2021-02-09,1.558317
IBM,2021-05-07,1.567878
IBM,2021-08-09,1.567878
IBM,2021-11-04,5.28
IBM,2021-11-09,1.64
INTC,2021-02-04,0.348
INTC,2021-05-06,0.348
INTC,2021-08-05,0.348
INTC,2021-11-04,0.348
MSFT,2021-02-17,0.56
MSFT,2021-05-19,0.56
MSFT,2021-08-18,0.56
MSFT,2021-11-17,0.62
NVDA,2021-03-09,0.004
NVDA,2021-06-09,0.004
NVDA,2021-08-31,0.004
NVDA,2021-12-01,0.004
ORCL,2021-01-06,0.24
ORCL,2021-04-07,0.32
ORCL,2021-07-14,0.32
ORCL,2021-10-08,0.32
