article_id,ticker,sentiment_label,confidence_score
1,AAPL,neutral,0.9492
2,AMC,neutral,0.9491
3,AAPL,neutral,0.9478
4,AMC,neutral,0.9512
5,AAPL,neutral,0.9526
6,GME,neutral,0.8698
7,AAPL,neutral,0.9521
8,AMC,neutral,0.9523
9,AAPL,neutral,0.9449
10,GME,neutral,0.9504
11,AMC,neutral,0.9496
12,AAPL,neutral,0.9501
13,AAPL,neutral,0.9460
14,ADBE,neutral,0.8335
15,ADBE,neutral,0.9290
16,ADBE,neutral,0.9427
17,ADBE,negative,0.9023
18,ADBE,positive,0.6545
19,ADBE,negative,0.8606
20,ADBE,neutral,0.9211
21,ADBE,neutral,0.8778
22,ADBE,negative,0.9721
23,ADBE,neutral,0.9477
24,ADBE,negative,0.9427
25,ADBE,neutral,0.9356
26,ADBE,neutral,0.7730
27,ADBE,neutral,0.5381
28,ADBE,neutral,0.6334
29,ADBE,negative,0.8039
30,ADBE,positive,0.8387
31,ADBE,neutral,0.9457
32,ADBE,negative,0.9732
33,ADBE,negative,0.9733
34,ADBE,neutral,0.9309
35,ADBE,positive,0.9016
36,ADBE,neutral,0.9355
37,ADBE,positive,0.9035
38,ADBE,neutral,0.9071
39,ADBE,negative,0.9318
40,ADBE,neutral,0.9380
41,META,neutral,0.9132
42,ADBE,neutral,0.9237
43,ADBE,neutral,0.9188
44,ADBE,neutral,0.9306
45,ADBE,neutral,0.8032
46,ADBE,neutral,0.9384
47,ADBE,neutral,0.9380
48,ADBE,neutral,0.8902
49,TSLA,negative,0.9410
50,ADBE,neutral,0.9479
51,CRM,neutral,0.9399
52,ADBE,neutral,0.9330
53,ADBE,neutral,0.9299
54,ADBE,neutral,0.8891
55,ADBE,neutral,0.5335
56,NVDA,negative,0.9500
57,ADBE,positive,0.9478
58,ADBE,neutral,0.9136
59,ADBE,positive,0.8937
60,ADBE,neutral,0.9351
61,ADBE,positive,0.5369
62,ADBE,neutral,0.9310
63,ADBE,positive,0.8092
64,ADBE,positive,0.8212
65,ADBE,neutral,0.9470
66,ADBE,neutral,0.9026
67,ADBE,neutral,0.9369
68,ADBE,neutral,0.8701
69,ADBE,neutral,0.8397
70,ADBE,negative,0.5987
71,ADBE,neutral,0.9236
72,ADBE,neutral,0.7727
73,ADBE,neutral,0.6690
74,ADBE,neutral,0.6840
75,ADBE,positive,0.9102
76,ADBE,negative,0.8634
77,ADBE,neutral,0.6668
78,ADBE,neutral,0.7600
79,ADBE,neutral,0.9384
80,CRM,neutral,0.7400
81,ADBE,positive,0.6582
82,ADBE,neutral,0.9028
83,ADBE,neutral,0.9169
84,ADBE,neutral,0.9345
85,ADBE,neutral,0.9468
86,ADBE,neutral,0.9446
87,ADBE,neutral,0.7799
88,ADBE,neutral,0.8313
89,ADBE,positive,0.7562
90,ADBE,neutral,0.9332
91,ADBE,neutral,0.9259
92,ADBE,neutral,0.9300
93,ORCL,neutral,0.9246
94,ADBE,neutral,0.9245
95,ADBE,neutral,0.9228
96,ADBE,neutral,0.8937
97,ADBE,neutral,0.8008
